Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
JB575D,Personenauto,HYUNDAI,GETZ,20220331,MPV,5,ROOD,4,"1,086",M1
AH6354,Personenauto,BENTLEY,BENTLEY,20070202,coupe,,GRIJS,6,,M1
D304PG,Bromfiets,KILLERBEE,CUSTOM,20110902,N.v.t.,2,N.v.t.,1,50,L1
JT417X,Personenauto,SUZUKI,SX4 1.5,20190628,hatchback,5,GRIJS,4,"1,490",M1
TL479P,Personenauto,OPEL,ASTRA SPORTS TOURER+,20180913,stationwagen,5,ZWART,4,"1,399",M1
81JNZT,Personenauto,PORSCHE,911 CARRERA,20141031,cabriolet,4,GRIJS,6,"3,596",M1
3SKD26,Personenauto,TOYOTA,TOYOTA YARIS,20180314,MPV,5,ROOD,3,998,M1
3TNF48,Personenauto,VOLKSWAGEN,GOLF,20150708,stationwagen,5,ZWART,4,"1,197",M1
88BTHN,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER BESTEL TDI 96 KW 1.0,20140205,gesloten opbouw,3,N.v.t.,5,"2,461",N1
49MGBZ,Motorfiets,BMW,K 1300 R,20170303,Niet geregistreerd,2,N.v.t.,4,"1,293",L3
38NFTN,Personenauto,TOYOTA,TOYOTA COROLLA VERSO,20180601,stationwagen,5,GRIJS,4,"1,598",M1
MVZZ81,Motorfiets,SUZUKI,GSX650F,20200206,Niet geregistreerd,2,N.v.t.,4,656,L3
9SZR63,Personenauto,SKODA,CITIGO,20210210,hatchback,4,ROOD,3,999,M1
TX132F,Personenauto,MERCEDES-BENZ,A 170,20220709,stationwagen,5,ZWART,4,"1,699",M1
G316LT,Personenauto,MERCEDES-BENZ,E 200 D,20191106,stationwagen,5,BLAUW,4,"1,597",M1
06ZDBT,Personenauto,FERRARI,599,20151102,coupe,2,ZWART,12,"5,999",M1
PV046K,Personenauto,VOLKSWAGEN,NEW BEETLE,20211019,hatchback,4,BLAUW,4,"1,390",M1
TV646Z,Personenauto,SKODA,OCTAVIA,20190802,stationwagen,5,BLAUW,4,"1,598",M1
56PLF9,Personenauto,PEUGEOT,308,20211127,MPV,5,GRIJS,4,"1,598",M1
MXFX77,Motorfiets,BMW,R 1200 GS,20200516,Niet geregistreerd,2,N.v.t.,2,"1,170",L3
TVP75F,Land- of bosbouwtrekker,KOMATSU,WA70-5,20211209,Niet geregistreerd,,N.v.t.,,,T
32ZBNT,Personenauto,PEUGEOT,308,20111021,hatchback,5,GRIJS,4,"1,598",M1
DBF89H,Bromfiets,RIESE UND MUELLER,CRUISER,20210626,N.v.t.,1,N.v.t.,0,,L1
6XFG17,Personenauto,PEUGEOT,308,20181002,MPV,5,BLAUW,4,"1,560",M1
29RGLH,Personenauto,FIAT,FIAT PANDA,20050323,hatchback,4,GRIJS,4,"1,242",M1
03XPT7,Personenauto,FORD,FIESTA,20180315,hatchback,5,WIT,4,"1,242",M1
49SXX4,Personenauto,SKODA,YETI,20120112,stationwagen,5,BEIGE,4,"1,798",M1
D348RR,Bromfiets,PIAGGIO,C38,20210908,N.v.t.,2,N.v.t.,1,50,L1
07LRBH,Personenauto,VOLVO,V70,20200825,stationwagen,5,ZWART,5,"2,435",M1
G086ZF,Personenauto,MAZDA,MAZDA CX-5,20200515,stationwagen,5,GRIJS,4,"1,998",M1
ND498P,Personenauto,PEUGEOT,3008,20170106,MPV,5,GRIJS,3,"1,199",M1
92DTL8,Bromfiets,TOMOS,A35-HDA,20210818,N.v.t.,,N.v.t.,,49,L1
48SLLS,Personenauto,PEUGEOT,PEUGEOT 107,20191217,hatchback,4,GRIJS,3,998,M1
07ZVD8,Personenauto,VOLKSWAGEN,CALIFORNIA,20210828,kampeerwagen,4,BLAUW,5,"2,461",M1
KZ826T,Personenauto,AUDI,Q5,20170217,stationwagen,5,GRIJS,4,"1,984",M1
DG12NT,Personenauto,MATRA,SIMCA RANCHO,20211112,Niet geregistreerd,,GROEN,4,,M1
67RTBL,Personenauto,VOLVO,V70,20200417,stationwagen,5,GROEN,5,"2,521",M1
VX95GN,Bedrijfsauto,VOLKSWAGEN,"BESTEL 1,0 D 45 KW",20100625,gesloten opbouw,,N.v.t.,4,"1,896",N1
MXFB44,Motorfiets,YAMAHA,YZF-R1,20210620,Niet geregistreerd,,N.v.t.,4,998,L3
03KJT6,Personenauto,AUDI,100 CS,20100702,sedan,,BEIGE,4,"1,760",M1
TP632Z,Personenauto,CITROEN,CITROEN C1,20181009,hatchback,4,WIT,3,998,M1
XP474V,Personenauto,VOLKSWAGEN,SHARAN,20190222,MPV,7,ZWART,4,"1,968",M1
1SHX64,Personenauto,KIA,PICANTO,20190502,MPV,5,ROOD,3,998,M1
P981TG,Personenauto,SKODA,ENYAQ 60,20220609,stationwagen,5,GRIJS,,,M1
P885VF,Personenauto,SUZUKI,SX4,20220617,hatchback,5,BRUIN,4,"1,373",M1
G566XF,Personenauto,TESLA,MODEL 3,20191219,sedan,5,GRIJS,,,M1
70LNL3,Personenauto,OPEL,CORSA,20171228,MPV,5,ZWART,4,"1,398",M1
KK038D,Personenauto,POESSL,KW 18 / 36,20161013,kampeerwagen,4,GRIJS,4,"2,999",M1
21FDV1,Bromfiets,KREIDLER,,20170824,N.v.t.,,N.v.t.,,50,L1
2SPJ48,Personenauto,OPEL,AGILA,20131125,stationwagen,5,BLAUW,3,996,M1
77JTVD,Personenauto,VOLKSWAGEN,GOLF,20060408,stationwagen,5,GRIJS,4,"1,984",M1
V414SN,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,20181022,neerklapbare zijschotten,3,N.v.t.,4,"2,143",N1
V907NV,Bedrijfsauto,MERCEDES-BENZ,CITAN,20200724,gesloten opbouw,2,N.v.t.,4,"1,461",N1
MT36BL,Motorfiets,HONDA,CBR 600 F,20160330,Niet geregistreerd,,N.v.t.,4,599,L3
01KBT2,Personenauto,NISSAN,NISSAN NOTE,20190416,MPV,5,GRIJS,4,"1,598",M1
JGDD90,Personenauto,PEUGEOT,205 1.1 FOREVER E2,20180703,hatchback,,ROOD,4,"1,124",M1
03SJDN,Personenauto,PEUGEOT,307,20210228,hatchback,5,GRIJS,4,"1,360",M1
XG957K,Personenauto,PEUGEOT,108,20190228,hatchback,4,GRIJS,3,998,M1
KP518S,Personenauto,FIAT,FIAT 500,20180602,hatchback,4,ROOD,2,875,M1
TRK31G,Land- of bosbouwtrekker,POLARIS,SPORTSMAN 570,20211109,Niet geregistreerd,,N.v.t.,,,T
03ZNJT,Personenauto,CHEVROLET,KALOS,20211206,hatchback,5,GRIJS,4,"1,150",M1
33MKXS,Motorfiets,TRIUMPH,TIGER 900,20220708,Niet geregistreerd,2,N.v.t.,3,885,L3
RS234H,Personenauto,MERCEDES-BENZ,A 140,20180904,stationwagen,5,GRIJS,4,"1,397",M1
FDR70H,Bromfiets,KYMCO,AGILITY 16+ 50 4T,20210211,N.v.t.,2,N.v.t.,1,50,L1
39MJTR,Motorfiets,YAMAHA,X-MAX 300,20180629,Niet geregistreerd,2,N.v.t.,1,292,L3
FBX51G,Bromfiets,GAZELLE,ULTIMATE SPEED,20200827,N.v.t.,1,N.v.t.,,,L1
19LRPV,Personenauto,OPEL,CORSA-C,20220407,hatchback,5,BLAUW,4,"1,389",M1
P635LZ,Personenauto,MERCEDES-BENZ,B 200 D,20220419,stationwagen,5,WIT,4,"1,950",M1
YJ38JT,Personenauto,NISSAN,CABSTAR DIESEL 2.5 D KAMPEERAUTO,20210720,kampeerwagen,,WIT,4,,M1
51XKBH,Personenauto,VOLVO,C30,20190405,coupe,4,ZWART,5,"2,400",M1
N330ND,Personenauto,TOYOTA,TOYOTA C-HR,20211209,hatchback,5,GRIJS,4,"1,798",M1
16NDL3,Personenauto,SUZUKI,ALTO,20160301,hatchback,4,BLAUW,3,996,M1
86FHG8,Bromfiets,PUCH,ZIP 25 KM/H,20220709,N.v.t.,,N.v.t.,,49,L1
K900BT,Personenauto,TESLA,MODEL 3,20201209,sedan,5,WIT,,,M1
MRPV20,Motorfiets,DUCATI,ST3,20180705,Niet geregistreerd,,N.v.t.,2,992,L3
DX997R,Bromfiets,PEUGEOT,101 NMT,20120114,N.v.t.,,N.v.t.,,49,L1
8ZHR90,Personenauto,VOLKSWAGEN,GOLF,20220429,stationwagen,5,GRIJS,4,"1,598",M1
VGK81P,Bedrijfsauto,FORD,TRANSIT CONNECT,20200717,gesloten opbouw,3,N.v.t.,4,"1,499",N1
94XDJ1,Personenauto,RENAULT,TWINGO,20220706,hatchback,4,GEEL,4,"1,149",M1
87MLHK,Motorfiets,KAWASAKI,VN 1600,20200918,Niet geregistreerd,2,N.v.t.,2,"1,552",L3
SN893R,Personenauto,MAZDA,MAZDA2,20180511,hatchback,5,GRIJS,4,"1,496",M1
SR326N,Personenauto,FORD,ECOSPORT,20220709,hatchback,5,GRIJS,3,998,M1
79FTH6,Bromfiets,PEUGEOT,FOX,20181013,N.v.t.,,N.v.t.,,49,L1
TR811Z,Personenauto,TESLA,MODEL S,20181005,hatchback,5,ZWART,,,M1
41TXP2,Personenauto,RENAULT,MEGANE,20150925,stationwagen,5,ZWART,4,"1,461",M1
PZ96JZ,Personenauto,TOYOTA,STARLET 1.0 SPECIAL S6,20210924,hatchback,,WIT,4,999,M1
56MFNS,Motorfiets,BMW,S 1000 RR,20191229,Niet geregistreerd,2,N.v.t.,4,999,L3
98SNH4,Personenauto,RENAULT,TWINGO,20111101,hatchback,4,ROOD,4,"1,149",M1
79NDDJ,Personenauto,SUZUKI,ALTO,20171028,hatchback,4,ROOD,4,"1,061",M1
FLB03V,Bromfiets,E-MAX,N/A,20220519,N.v.t.,2,N.v.t.,,,L1
V664TB,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,20190104,gesloten opbouw,3,N.v.t.,6,"2,987",N1
FKJ67F,Bromfiets,CAPRI,CL 50,20220709,N.v.t.,2,N.v.t.,1,50,L1
FHG71N,Bromfiets,MANGOSTEEN,M1,20210717,N.v.t.,1,N.v.t.,,,L1
FN389N,Bromfiets,ZNEN,ZN50QT-A,20080412,N.v.t.,2,N.v.t.,1,50,L1
07TTXS,Personenauto,FORD,FOCUS,20190827,stationwagen,5,GRIJS,4,"1,596",M1
KB321J,Personenauto,AUDI,A4 AVANT,20160722,stationwagen,5,GRIJS,4,"1,984",M1
DBZR15,Personenauto,NISSAN,300ZX TWIN TURBO U9,20060621,coupe,,GEEL,6,"2,960",M1
XG974S,Personenauto,SUZUKI,IGNIS,20220429,hatchback,4,GRIJS,4,"1,242",M1
75YB13,Personenauto,OPEL,MANTA 16S,20220525,Niet geregistreerd,,BEIGE,4,,M1
XS736T,Personenauto,AUDI,A6 ALLROAD QUATTRO,20190313,stationwagen,5,ZWART,6,"2,967",M1
DK088V,Bromfiets,ZUNDAPP,529-05,20100305,N.v.t.,,N.v.t.,,50,L1
D896FB,Bromfiets,KYMCO,LIKE,20220105,N.v.t.,2,N.v.t.,1,49,L1
37VGD5,Bedrijfsauto,CITROEN,JUMPY 1000 L1H1 1.6HDI,20180802,gesloten opbouw,3,N.v.t.,4,"1,560",N1
09FZP5,Bromfiets,TOMOS,REVIVAL TS (TWO SEATER),20120329,N.v.t.,,N.v.t.,1,49,L1
HD750B,Personenauto,VOLKSWAGEN,UP!,20210126,hatchback,4,WIT,3,999,M1
XF912Z,Personenauto,TESLA,MODEL S,20181222,hatchback,5,ZWART,,,M1
TL628L,Personenauto,FIAT,FIAT 500,20180831,hatchback,4,WIT,2,875,M1
NR822J,Personenauto,AUDI,AUDI S4,20220525,sedan,5,ROOD,8,"4,163",M1
12XPPB,Personenauto,HYUNDAI,I 30,20070810,MPV,5,GRIJS,4,"1,591",M1
96PTX5,Personenauto,MERCEDES-BENZ,B 200,20220709,stationwagen,5,BEIGE,4,"2,035",M1
TH627S,Personenauto,MINI,ONE,20180802,hatchback,4,BRUIN,4,"1,598",M1
RD610F,Personenauto,KIA,PICANTO,20210422,MPV,4,BLAUW,3,998,M1
MXHZ13,Motorfiets,SUZUKI,GSF1250,20210722,Niet geregistreerd,2,N.v.t.,4,"1,255",L3
PV299J,Personenauto,SUZUKI,IGNIS,20211124,hatchback,4,GRIJS,4,"1,242",M1
4TPF40,Personenauto,FORD,FIESTA,20160302,hatchback,5,GRIJS,4,"1,560",M1
XR734P,Personenauto,RENAULT,TWINGO,20190305,hatchback,4,BLAUW,3,999,M1
26HFK2,Personenauto,NISSAN,NISSAN QASHQAI,20191129,MPV,5,ZWART,4,"1,598",M1
55VHK1,Bedrijfsauto,OPEL,VIVARO-2 2.0CDTI/66KW-E4 2.7T L1H1,20210202,gesloten opbouw,3,N.v.t.,4,"1,995",N1
82HZJF,Personenauto,SEAT,LEON,20220709,hatchback,5,GRIJS,4,"1,896",M1
JG371X,Personenauto,CHEVROLET,MATIZ,20220709,hatchback,5,ZWART,3,796,M1
RP725J,Personenauto,HYUNDAI,KONA,20180112,MPV,5,GRIJS,3,998,M1
59XVZR,Personenauto,FIAT,FIAT PANDA,20120901,MPV,4,ORANJE,4,"1,242",M1
BE2164,Bedrijfsauto,G.M.C.,DUK W 353,20210921,open wagen,,N.v.t.,6,,N2
VDD62T,Bedrijfsauto,MERCEDES-BENZ,SPRINTER,20191127,gesloten opbouw,2,N.v.t.,6,"2,987",N1
GL702S,Personenauto,MERCEDES-BENZ,A 200,20191120,stationwagen,5,GRIJS,4,"1,595",M1
V239RZ,Bedrijfsauto,FIAT,SCUDO,20180830,gesloten opbouw,3,N.v.t.,4,"1,560",N1
XL123V,Personenauto,SKODA,FABIA,20190208,hatchback,5,GRIJS,3,999,M1
35TDG3,Personenauto,LAND ROVER,LR 90 4C SW,20181026,stationwagen,6,WIT,4,"2,495",M1
05PXD9,Personenauto,TOYOTA,TOYOTA AYGO,20211116,hatchback,4,WIT,3,998,M1
TVS74X,Land- of bosbouwtrekker,DEUTZ-FAHR,AGROTRON 4.85,20211210,Niet geregistreerd,,N.v.t.,,,T
MK79JS,Motorfiets,BMW,R 80,20050122,Niet geregistreerd,,N.v.t.,2,798,L3
MK90ZV,Motorfiets,BMW,K75RT,20000331,Niet geregistreerd,,N.v.t.,3,740,L3
6TXJ73,Personenauto,AUDI,A3 SPORTBACK G-TRON,20220709,hatchback,5,GRIJS,4,"1,395",M1
6VJX51,Bedrijfsauto,VOLKSWAGEN,CADDY 55 KW BESTEL,20201212,gesloten opbouw,2,N.v.t.,4,"1,896",N1
63XDJN,Personenauto,MERCEDES-BENZ,R 320 CDI 4MATIC,20170413,stationwagen,6,GRIJS,6,"2,987",M1
9TFZ23,Personenauto,PEUGEOT,308,20201016,hatchback,5,GRIJS,4,"1,598",M1
34PSB8,Personenauto,MERCEDES-BENZ,ML 300 CDI 4MATIC,20161201,stationwagen,5,GRIJS,6,"2,987",M1
20ZPJF,Personenauto,VOLKSWAGEN,POLO,20150423,hatchback,5,ZWART,4,"1,390",M1
9KJL74,Personenauto,SUZUKI,SPLASH,20130508,stationwagen,5,GRIJS,4,"1,242",M1
7ZGT66,Personenauto,VOLKSWAGEN,GOLF,20150112,stationwagen,5,GRIJS,4,"1,984",M1
XN166V,Personenauto,RENAULT,SCENIC,20200424,hatchback,5,WIT,4,"1,332",M1
ZK386L,Personenauto,VOLKSWAGEN,GOLF,20191220,stationwagen,5,ROOD,4,"1,984",M1
95TZF4,Personenauto,FORD,FIESTA,20120706,hatchback,5,GRIJS,4,"1,242",M1
XJ754G,Personenauto,LEXUS,LEXUS LC500H,20210522,coupe,4,WIT,6,"3,456",M1
RS110R,Personenauto,PEUGEOT,208,20210107,hatchback,5,BLAUW,3,"1,199",M1
95GDKG,Personenauto,PEUGEOT,206,20001010,hatchback,5,BLAUW,4,"1,360",M1
K864PL,Personenauto,OPEL,GRANDLAND X,20210309,MPV,5,GRIJS,4,"1,598",M1
PL847T,Personenauto,MERCEDES-BENZ,VITO TOURER,20190404,MPV,9,WIT,4,"1,598",M1
HD345P,Personenauto,SUZUKI,VITARA,20151008,hatchback,5,BLAUW,4,"1,586",M1
P704NB,Personenauto,CITROEN,CITROEN C1,20220423,hatchback,4,ZWART,3,998,M1
88NFJX,Personenauto,NISSAN,NISSAN MICRA,20210520,hatchback,5,GROEN,4,"1,240",M1
NF007D,Personenauto,TOYOTA,TOYOTA AVENSIS,20210820,MPV,5,GRIJS,4,"1,798",M1
NL676G,Personenauto,PEUGEOT,2008,20170331,stationwagen,5,WIT,3,"1,199",M1
66LZBT,Personenauto,MAZDA,MIATA MX-5 U9,20040622,cabriolet,,WIT,4,"1,598",M1
4XFZ39,Personenauto,TOYOTA,TOYOTA YARIS,20220122,MPV,5,GRIJS,4,"1,298",M1
GV517J,Personenauto,VOLKSWAGEN,GOLF SPORTSVAN,20211005,stationwagen,5,GRIJS,4,"1,197",M1
TSG49T,Motorrijtuig met beperkte snelheid,VOLVO,L70F,20211117,Niet geregistreerd,,N.v.t.,,,Z
7VVJ88,Bedrijfsauto,FIAT,FIAT DUCATO,20171117,gesloten opbouw,3,N.v.t.,4,"1,956",N1
57PBV7,Personenauto,RENAULT,CLIO,20220408,hatchback,5,BLAUW,4,"1,149",M1
F474XZ,Bromfiets,PIAGGIO,N/A,20220708,N.v.t.,2,N.v.t.,1,50,L1
66VLX7,Bedrijfsauto,PEUGEOT,EXPERT 227 L1H1 1.6HDI 16V-90,20150123,gesloten opbouw,3,N.v.t.,4,"1,560",N1
39BSGV,Bedrijfsauto,OPEL,VIVARO 1.9DI 2.7T L1H1,20200127,gesloten opbouw,3,N.v.t.,4,"1,870",N1
1KZG50,Personenauto,AUDI,AUDI A3,20130812,stationwagen,5,ZWART,4,"1,598",M1
KB507X,Personenauto,CITROEN,C3,20160922,hatchback,5,BLAUW,3,"1,199",M1
HJ314D,Personenauto,CHEVROLET,NUBIRA,20160108,stationwagen,5,ZWART,4,"1,598",M1
03FLT1,Bromfiets,APRILIA,PK,20060509,N.v.t.,,N.v.t.,1,49,L1
63NJS1,Personenauto,VOLKSWAGEN,POLO,20210617,hatchback,5,GRIJS,3,"1,199",M1
PL931H,Personenauto,TOYOTA,TOYOTA AURIS,20200923,MPV,5,GRIJS,4,"1,798",M1
2SKG91,Personenauto,TOYOTA,TOYOTA AYGO,20190611,hatchback,4,ZWART,3,998,M1
43PSTN,Personenauto,MERCEDES-BENZ,A 150,20041105,stationwagen,5,ZWART,4,"1,498",M1
DX532X,Bromfiets,MOTO GUZZI,DINGO 50,20210824,N.v.t.,,N.v.t.,0,,L1
33NDJS,Personenauto,FORD,FIESTA,20220709,hatchback,5,ZWART,4,"1,242",M1
DKJ17P,Bromfiets,MASH,FIFTY,20170426,N.v.t.,2,N.v.t.,1,49,L1
95VTF7,Bedrijfsauto,RENAULT,TRAFIC T27 L1/H1 2.0 DCI 66KW E4 DC,20130402,gesloten opbouw,6,N.v.t.,4,"1,995",N1
02DR53,Personenauto,VOLKSWAGEN,111011,20200227,Niet geregistreerd,,ROOD,4,,M1
54PHZX,Personenauto,OPEL,ASTRA,20211123,hatchback,5,GRIJS,4,"1,796",M1
98PVKJ,Personenauto,KIA,PICANTO,20201025,MPV,4,BLAUW,4,"1,086",M1
9VPD41,Bedrijfsauto,FORD,TRANSIT CONNECT,20200317,gesloten opbouw,2,N.v.t.,4,"1,753",N1
79HFN4,Personenauto,FIAT,FIAT PANDA,20100601,MPV,4,BLAUW,4,"1,242",M1
57KSG4,Personenauto,AUDI,AUDI A4,20180201,stationwagen,5,GRIJS,4,"1,968",M1
32GSP3,Personenauto,RENAULT,MEGANE SCENIC,20201205,MPV,5,GRIJS,4,"1,598",M1
21LHH1,Personenauto,FORD,FIESTA,20141227,hatchback,5,WIT,4,"1,242",M1
SR394R,Personenauto,TOYOTA,TOYOTA RAV4,20180615,MPV,5,ZWART,4,"2,494",M1
38BVNX,Bedrijfsauto,LAND ROVER,FREELANDER 2.0 TD4 3-DEURS COMMERCIAL,20200801,gesloten opbouw,,N.v.t.,4,"1,950",N1
TXD20T,Motorrijtuig met beperkte snelheid,JOHN DEERE,X534,20211214,Niet geregistreerd,,N.v.t.,,,Z
15NSRG,Personenauto,FORD,MONDEO,20061013,stationwagen,5,ROOD,4,"1,798",M1
16KBV8,Personenauto,CITROEN,C4 PICASSO,20200618,stationwagen,5,BLAUW,4,"1,598",M1
KL620P,Personenauto,FORD,B-MAX,20180201,MPV,5,ZWART,4,"1,596",M1
TPN64K,Land- of bosbouwtrekker,FENDT,820 VARIO,20211101,Niet geregistreerd,,N.v.t.,,,T
VZ120P,Bedrijfsauto,PEUGEOT,BOXER,20200325,gesloten opbouw,3,N.v.t.,4,"1,997",N1
85RSJ1,Personenauto,FORD,FIESTA,20110715,hatchback,5,GRIJS,4,"1,388",M1
K822BT,Personenauto,TESLA,MODEL 3,20201204,sedan,5,BLAUW,,,M1
P283KH,Personenauto,OPEL,MOKKA,20220331,MPV,5,GRIJS,,,M1
68KFJ9,Personenauto,RENAULT,TWINGO,20220525,hatchback,4,BLAUW,4,"1,149",M1
32TZG5,Personenauto,OPEL,CORSA,20190128,MPV,5,GRIJS,4,"1,229",M1
GT501D,Personenauto,TOYOTA,TOYOTA AURIS,20210716,MPV,5,BLAUW,4,"1,798",M1
29DFTJ,Personenauto,OPEL,CORSA-B,20210504,hatchback,5,GRIJS,4,"1,199",M1
FP178V,Bromfiets,FOSTI,FT50QT-E,20211105,N.v.t.,2,N.v.t.,1,50,L1
G796FP,Personenauto,TESLA,MODEL 3,20190926,sedan,5,GRIJS,,,M1
11LFF9,Personenauto,VOLKSWAGEN,POLO,20211026,hatchback,5,GRIJS,4,"1,390",M1
33TXHN,Personenauto,VOLVO,XC70,20130816,stationwagen,5,ZWART,5,"2,400",M1
7SNX33,Personenauto,OPEL,MERIVA,20190305,MPV,5,GRIJS,4,"1,362",M1
27FLJ4,Bromfiets,YAMAHA,FS 1,20200304,N.v.t.,,N.v.t.,,50,L1
MG26NX,Motorfiets,CAGIVA,ALA VERDE SST 350,20141018,Niet geregistreerd,,N.v.t.,1,342,L3
33TTFK,Personenauto,PEUGEOT,307,20170817,stationwagen,5,ZWART,4,"1,997",M1
DH5666,Personenauto,VOLKSWAGEN,113021,19940623,Niet geregistreerd,,BLAUW,4,,M1
F572DS,Bromfiets,PIAGGIO,C38,20120602,N.v.t.,2,N.v.t.,1,50,L1
SR515R,Personenauto,VOLKSWAGEN,GOLF,20210909,hatchback,5,ZWART,4,"1,984",M1
VB144G,Bedrijfsauto,PEUGEOT,PARTNER,20190115,gesloten opbouw,2,N.v.t.,4,"1,560",N1
HH967Z,Personenauto,TOYOTA,TOYOTA AYGO,20171017,hatchback,4,ZWART,3,998,M1
FD05SB,Personenauto,VOLVO,244 GL,20161221,sedan,5,GROEN,4,,M1
TKT83G,Land- of bosbouwtrekker,FERGUSON,TEF-20,20210916,Niet geregistreerd,,N.v.t.,,,T
81TGGP,Personenauto,AUDI,AUDI A3,20131207,hatchback,5,ZWART,4,"1,984",M1
K866VR,Personenauto,FORD,EXPLORER,20210402,stationwagen,7,GRIJS,6,"2,956",M1
THS92F,Land- of bosbouwtrekker,JOHN DEERE,6110,20210707,Niet geregistreerd,,N.v.t.,,,T
D437KP,Bromfiets,TOMOS,A3,20200430,N.v.t.,,N.v.t.,1,49,L1
DXL30D,Bromfiets,SYM,MIO,20200404,N.v.t.,2,N.v.t.,1,49,L1
4XLS10,Personenauto,KIA,PICANTO,20141002,MPV,5,GRIJS,3,998,M1
79FHN8,Bromfiets,PEUGEOT,B1,20111209,N.v.t.,,N.v.t.,1,49,L1
7KTJ69,Personenauto,SKODA,OCTAVIA,20220402,sedan,5,GRIJS,4,"1,197",M1
N752NV,Personenauto,TESLA,MODEL Y,20211217,MPV,5,WIT,,,M1
VFR19S,Bedrijfsauto,MERCEDES-BENZ,MERCEDES-BENZ ML 280 CDI,20200519,gesloten opbouw,2,N.v.t.,6,"2,987",N1
G308SX,Personenauto,MERCEDES-BENZ,GLC 200 D,20191202,stationwagen,5,ZWART,4,"1,950",M1
MHNX14,Motorfiets,HONDA,RC 36,20150922,Niet geregistreerd,,N.v.t.,4,750,L3
66JLPH,Personenauto,PEUGEOT,206,20220709,cabriolet,4,GRIJS,4,"1,587",M1
GV612G,Personenauto,VOLVO,V60 TWIN ENGINE,20200812,stationwagen,5,WIT,5,"2,400",M1
D778ZF,Bromfiets,SYM,XS50QT,20180505,N.v.t.,2,N.v.t.,1,50,L1
SN029R,Personenauto,TOYOTA,TOYOTA AYGO,20190906,hatchback,4,WIT,3,998,M1
MSFT04,Motorfiets,YAMAHA,DM01,20120803,Niet geregistreerd,,N.v.t.,1,660,L3
GX219G,Personenauto,VOLKSWAGEN,GOLF,20220407,stationwagen,5,ZWART,4,"1,395",M1
JK036B,Personenauto,OPEL,CORSA-E,20160415,hatchback,5,BLAUW,3,999,M1
48RSPX,Personenauto,FIAT,FIAT STILO,20220407,hatchback,5,GROEN,4,"1,368",M1
48RVR7,Personenauto,VOLKSWAGEN,POLO,20170804,hatchback,5,BLAUW,3,"1,199",M1
97JDP4,Personenauto,BMW,X REIHE,20220510,stationwagen,5,ZWART,6,"2,993",M1
RT722F,Personenauto,MERCEDES-BENZ,A 160,20181220,stationwagen,5,GRIJS,4,"1,595",M1
63XDG8,Personenauto,CHEVROLET,SPARK,20220709,hatchback,5,BLAUW,4,995,M1
37XDX1,Personenauto,OPEL,CORSA,20190119,MPV,5,GRIJS,4,"1,248",M1
G690JZ,Personenauto,RENAULT,CLIO,20210419,stationwagen,5,GRIJS,3,898,M1
LB18YH,Personenauto,VOLKSWAGEN,JETTA CL 55KW,20110519,sedan,,BEIGE,4,"1,595",M1
XF816J,Personenauto,FORD,FIESTA,20190103,hatchback,5,GRIJS,3,998,M1
19NND4,Personenauto,VOLKSWAGEN,POLO,20140303,hatchback,5,ZWART,3,"1,199",M1
SL200G,Personenauto,VOLKSWAGEN,BEETLE,20180529,cabriolet,4,WIT,4,"1,984",M1
6SXF80,Personenauto,SKODA,OCTAVIA,20200528,sedan,5,BRUIN,4,"1,598",M1
1KTS02,Personenauto,SEAT,LEON,20220709,stationwagen,5,GRIJS,4,"1,984",M1
HN833D,Personenauto,MITSUBISHI,MITSUBISHI OUTLANDER,20180330,stationwagen,5,GRIJS,4,"1,998",M1
48LVXV,Personenauto,OPEL,MERIVA-A,20220107,MPV,5,GRIJS,4,"1,598",M1
18BKX6,Bedrijfsauto,VOLVO,FH,20191122,opleggertrekker,2,N.v.t.,6,"12,777",N3
MX39HP,Motorfiets,HONDA,CBR 600 F,20200702,Niet geregistreerd,,N.v.t.,4,599,L3
07RXS1,Personenauto,AUDI,AUDI TT,20210508,cabriolet,2,GRIJS,4,"1,798",M1
17ZSBV,Personenauto,KIA,PICANTO,20150627,MPV,4,ZWART,4,"1,086",M1
0242FL,Personenauto,VOLVO,P121S,20130617,Niet geregistreerd,,BLAUW,4,,M1
HP908R,Personenauto,VOLKSWAGEN,POLO,20191025,hatchback,5,ZWART,4,"1,197",M1
DB840V,Bromfiets,RIEJU,MRX,20200922,N.v.t.,,N.v.t.,1,50,L1
H655RK,Personenauto,BMW,520I,20220525,stationwagen,5,ZWART,4,"1,998",M1
SN926X,Personenauto,CITROEN,C3 AIRCROSS,20201106,MPV,5,WIT,3,"1,199",M1
79LGT8,Personenauto,MINI,MINI,20210810,hatchback,4,GRIJS,4,"1,598",M1
84LZV3,Personenauto,CHEVROLET,SPARK,20220709,hatchback,5,BLAUW,4,"1,206",M1
K995NJ,Personenauto,FORD,KUGA,20210115,MPV,5,GRIJS,4,"1,596",M1
76XJV9,Personenauto,AUDI,AUDI A6,20120615,stationwagen,5,ZWART,4,"1,968",M1
