Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
GL746H,Personenauto,LEXUS,LEXUS CT200H,20150625,hatchback,5,ZWART,4,"1,798",M1
MXBF34,Motorfiets,BMW,K 1200 RS,20220709,Niet geregistreerd,,N.v.t.,4,"1,171",L3
DNT22R,Bromfiets,BETA,N/A,20220407,N.v.t.,2,N.v.t.,1,50,L1
29SHGH,Personenauto,FIAT,FIAT PANDA,20190914,hatchback,4,GRIJS,4,"1,242",M1
04LTTK,Personenauto,HYUNDAI,GETZ,20030520,hatchback,5,GRIJS,4,"1,341",M1
MJ54LN,Motorfiets,VESPA,P200E,20060731,Niet geregistreerd,,N.v.t.,1,198,L3
ZF634X,Personenauto,CAPRON,T 67,20190510,kampeerwagen,4,WIT,4,"2,287",M1
25XZK6,Personenauto,SKODA,FABIA,20120921,stationwagen,5,GRIJS,4,"1,197",M1
J223XF,Personenauto,SKODA,OCTAVIA,20201113,stationwagen,5,GRIJS,3,999,M1
PR531B,Personenauto,BMW,530D,20210206,stationwagen,5,GRIJS,6,"2,993",M1
92RGP4,Personenauto,LEXUS,LEXUS CT200H,20140912,hatchback,5,ZWART,4,"1,798",M1
74RZTP,Personenauto,MAZDA,MAZDA 5,20220709,MPV,7,ZWART,4,"1,798",M1
11ZLD4,Personenauto,FORD,FOCUS,20190712,stationwagen,5,BLAUW,3,998,M1
80TLDV,Personenauto,MERCEDES-BENZ,B 170,20120831,stationwagen,5,ZWART,4,"1,699",M1
V316KS,Bedrijfsauto,RENAULT,MASTER,20180119,gesloten opbouw,3,N.v.t.,4,"2,299",N1
2XST00,Personenauto,VOLKSWAGEN,KOMBI,20141208,MPV,9,ROOD,4,"1,968",M1
XH019R,Personenauto,MAZDA,MAZDA CX-3,20181229,stationwagen,5,WIT,4,"1,998",M1
G359VN,Personenauto,TESLA,MODEL 3,20191229,sedan,5,ZWART,,,M1
72NPSP,Personenauto,CITROEN,XSARA PICASSO,20220429,MPV,5,GRIJS,4,"1,997",M1
VF057F,Bedrijfsauto,PEUGEOT,PEUGEOT BOXER,20210701,gesloten opbouw,3,N.v.t.,4,"2,198",N1
PH029R,Personenauto,FORD,FIESTA,20200825,hatchback,5,ORANJE,3,998,M1
